,Unnamed: 0,text,sarcasm
0,0.0,"And of those few months, how long have you been a demented sex pervert?",0.0
1,1.0,"Let the dead man talk. So, why do you think that?",0.0
2,2.0,"What else? Sell it on eBay as ""slightly used.""",0.0
3,3.0,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",1.0
4,4.0,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?",0.0
5,5.0,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",1.0
6,6.0,"And if it turns out you don't... - you and I could live together. - You and... Oh, sure.",1.0
7,7.0,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",1.0
8,8.0,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,1.0
9,9.0,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",1.0
10,10.0,"I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.",0.0
11,11.0,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,0.0
12,12.0,"On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.",1.0
13,13.0,That's how much buying a comic book store means to me.,0.0
14,14.0,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",0.0
15,15.0,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,0.0
16,16.0,I don't need a reason-- it's my house.,0.0
17,17.0,"Boy, when you met Bernadette, the field of robotics really took a hit.",1.0
18,18.0,Let's not talk about this in front of our friends.,0.0
19,19.0,Maybe it's a good thing we came here. It's like a lesson in what not to do.,1.0
20,20.0,"Same as all of us, getting out of a car without underwear.",1.0
21,21.0,"Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.",0.0
22,22.0,"Wow, he really went where no man has gone before.",0.0
23,23.0,"Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.",0.0
24,24.0,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",1.0
25,25.0,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",1.0
26,26.0,"Next time I might be in a rush, it's good to have a few in the bank.",0.0
27,27.0,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,1.0
28,28.0,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",0.0
29,29.0,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,1.0
30,30.0,"And I love that I work and do all the cleaning, and you're okay with that.",1.0
31,31.0,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",0.0
32,32.0,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",1.0
33,33.0,I love that you're too good to pee in the kitchen sink.,1.0
34,34.0,"So as they say, all good things must come to an end.",0.0
35,35.0,Doesn't Professor Abbott's family want any of this stuff?,0.0
36,36.0,"I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0.0
37,37.0,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",1.0
38,38.0,Are you sure a dummy like me can handle something as complicated as a blanket?,1.0
39,39.0,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",1.0
40,40.0,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1.0
41,41.0,Is that why you had to take him to Office Depot last night?,0.0
42,42.0,"As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?",0.0
43,43.0,"And how difficult it is to do when she's bloated, cranky and crampy?",0.0
44,44.0,"I've, uh, created some other user accounts so I can post positive comments about their paper.",0.0
45,45.0,The answer's in this puzzle box. Let's see if you can open it.,1.0
46,46.0,"No, Stuart picked out those throw pillows all on his own.",1.0
47,47.0,"Not much, but he seemed to be in a pretty good place.",0.0
