,text,sarcasm
0,"And of those few months, how long have you been a demented sex pervert?",0.0
1,"Let the dead man talk. So, why do you think that?",0.0
2,"What else? Sell it on eBay as ""slightly used.""",0.0
3,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",1.0
4,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?",0.0
5,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",1.0
6,"And if it turns out you don't... - you and I could live together. - You and... Oh, sure.",1.0
7,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",1.0
8,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,1.0
9,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",1.0
10,"I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.",0.0
11,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,0.0
12,"On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.",1.0
13,That's how much buying a comic book store means to me.,0.0
14,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",0.0
15,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,0.0
16,I don't need a reason-- it's my house.,0.0
17,"Boy, when you met Bernadette, the field of robotics really took a hit.",1.0
18,Let's not talk about this in front of our friends.,0.0
19,Maybe it's a good thing we came here. It's like a lesson in what not to do.,1.0
20,"Same as all of us, getting out of a car without underwear.",1.0
21,"Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.",0.0
22,"Wow, he really went where no man has gone before.",0.0
23,"Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.",0.0
24,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",1.0
25,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",1.0
26,"Next time I might be in a rush, it's good to have a few in the bank.",0.0
27,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,1.0
28,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",0.0
29,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,1.0
30,"And I love that I work and do all the cleaning, and you're okay with that.",1.0
31,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",0.0
32,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",1.0
33,I love that you're too good to pee in the kitchen sink.,1.0
34,"So as they say, all good things must come to an end.",0.0
35,Doesn't Professor Abbott's family want any of this stuff?,0.0
36,"I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0.0
37,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",1.0
38,Are you sure a dummy like me can handle something as complicated as a blanket?,1.0
39,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",1.0
40,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1.0
41,Is that why you had to take him to Office Depot last night?,0.0
42,"As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?",0.0
43,"And how difficult it is to do when she's bloated, cranky and crampy?",0.0
44,"I've, uh, created some other user accounts so I can post positive comments about their paper.",0.0
45,The answer's in this puzzle box. Let's see if you can open it.,1.0
46,"No, Stuart picked out those throw pillows all on his own.",1.0
47,"Not much, but he seemed to be in a pretty good place.",0.0
48,"I don't know, perhaps somebody took it off the carousel by mistake?",0.0
49,This is why I've been saying we should keep champagne on ice.,1.0
50,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",1.0
51,I think tonight was a very good start.,0.0
52,"Yeah, turns out half a dozen menorahs really sets a mood.",1.0
53,"Yeah, we just want to have the kind of dinner that we've all had here so many times before.",0.0
54,"I'm sorry, I am not going back to the Renaissance fair.",0.0
55,"Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned.",1.0
56,It's why my people wandered the desert for 40 years. Took that long to walk it off.,1.0
57,"All right, Amy's in charge of pricing and being 75.",1.0
58,"And if I had a friend, they might have told me that.",0.0
59,Then buckle up; you're in for a cranky night.,0.0
60,"Oh, just put it in your mouth and pop it like a zit.",0.0
61,"No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.",1.0
62,"Uh, no. I overheard Bernadette tell Howard she was making him a meat loaf, and you don't have to not ask me twice.",0.0
63,"Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am.",0.0
64,"Wow, there's a Denny's in Vegas you can actually get married in.",0.0
65,You were very clear. As was everyone else at the table.,0.0
66,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",1.0
67,"Maybe when I publish it, I'll include an inhaler.",1.0
68,I don't know. It just died. I'm getting a bunch of static.,0.0
69,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",1.0
70,The big deal is that nobody touches food on my plate.,0.0
71,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,1.0
72,How nice. Maybe they can carpool when they visit you in federal prison.,1.0
73,"Sheldon, if you were a robot, and I knew and you didn't...",0.0
