,Unnamed: 0,text,sarcasm
0,0.0,It's just a privilege to watch your mind at work.,1
1,1.0,I don't think I'll be able to stop thinking about it.,1
2,2.0,"Since it's not bee season, you can have my epinephrine.",0
3,3.0,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",0
4,4.0,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,1
5,5.0,"Sheldon, if you were a robot, and I knew and you didn't...",0
6,6.0,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",1
7,7.0,No. The dark crescent-shaped patterns under your arms conceal it nicely.,1
8,8.0,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",1
9,9.0,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",1
10,10.0,"Sure, cut the foreigner in half. There's a billion more where he came from.",1
11,11.0,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",0
12,12.0,"Well, I'm sorry, too, but there's just no room for you in my wallet.",1
13,13.0,"I've got some feelers out. In the meantime, listen to this.",0
14,14.0,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,0
15,15.0,Not to mention you'd have to power down on saturdays.,0
16,16.0,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",1
17,17.0,"Technically, yes. But, if you'll notice... It's reversible!",0
18,18.0,Just the latest copy of Applied Particle Physics quarterly.,1
19,19.0,"Oh, you know, that is so weird that yours came and mine didn't.",1
20,20.0,Do you think Penny will come here and take care of us?,0
21,21.0,"- Now?! - No, after my tongue has swollen to the size of a brisket!",1
22,22.0,"What else? Sell it on eBay as ""slightly used.""",0
23,23.0,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",1
24,24.0,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1
25,25.0,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",1
26,26.0,I think tonight was a very good start.,0
27,27.0,"I'm sorry, I am not going back to the Renaissance fair.",0
28,28.0,You were very clear. As was everyone else at the table.,0
29,29.0,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",1
30,30.0,"Maybe when I publish it, I'll include an inhaler.",1
31,31.0,I don't know. It just died. I'm getting a bunch of static.,0
32,32.0,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",1
33,33.0,The big deal is that nobody touches food on my plate.,0
34,34.0,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,1
35,35.0,How nice. Maybe they can carpool when they visit you in federal prison.,1
36,36.0,"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",0
37,37.0,The blunt instrument that will be the focus of my murder trial?,1
38,38.0,Would it work if I just punched you in the face?,0
39,39.0,Answering the question once and for all why Wolowitz bailed out of medical school.,0
40,40.0,My aunt Marion gave them to me for my 12th birthday.,0
41,41.0,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,1
42,42.0,"""Dave."" Sounds like Leonard's got a new BFF.",1
43,43.0,"If you don't like this stuff, let's go next door and build her a bear.",1
44,44.0,"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",1
45,45.0,Why don't you just lie down on the floor and swim there?,1
46,46.0,I hope I'm a waitress at the Cheesecake Factory for my whole life.,1
47,47.0,"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.",1
48,48.0,There's no hurry. Tell them more about their secret love for each other.,0
49,49.0,"Kind of makes you feel more alive, doesn't it?",1
50,50.0,"Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation.",1
51,51.0,"Excuse me, but what about me? Why don't I get a shot?",0
52,52.0,"So? Do cocaine smugglers write ""cocaine"" on the box?",1
53,53.0,Thank you so much for giving me the opportunity to help.,0
54,54.0,You know this can go on all night. Why don't you just come with us?,0
55,55.0,Provided he has already read and is familiar with the reestablishment of the DC multiverse.,0
56,56.0,"You think ""coffee,"" means coffee. That is so sweet.",1
57,57.0,"You don't really believe in that superstition, do you?",0
58,58.0,"Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?",1
59,59.0,Hardly a day goes by when I don't think about it.,1
60,60.0,"Sure, maybe a tableau of me trying to pummel you to death.",1
61,61.0,"Terrific, it's just that... I don't think Penny wants me to go.",0
62,62.0,What did you mean when you said you were going to miss me?,0
63,63.0,"Ooh, big talk from a man who was once treed by a chicken.",1
64,64.0,"No, I mean, we can always go back to being friends.",0
65,65.0,It's an iCal download. She can put it right in her phone.,1
66,66.0,"You know, I've always wanted to go to a Goth nightclub.",1
