,id,utterance,sarcasm
0,1_60_1,It's just a privilege to watch your mind at work.,True
1,1_60_2,It's just a privilege to look at your mind at work.,True
2,1_70_1,I don't think I'll be able to stop thinking about it.,True
3,1_70_2,I don't think I can stop thinking about it.,True
4,1_80_1,"Since it's not bee season, you can have my epinephrine.",False
5,1_90_1,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",False
6,1_90_2,"Lois Lane is falling, accelerating at an initial rate of 32 feet per second. Superman bows to save her by reaching two steel arms. Miss Lane, who now travels at about 120 miles per hour, hits them and is immediately cut into three equal pieces.",False
7,1_105_1,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,True
8,1_105_2,I'm just injecting that it's a couch because the evidence suggests that the coffee table has a small garage sale.,True
9,1_162_1,"Sheldon, if you were a robot, and I knew and you didn't...",False
10,1_162_2,"Sheldon, if you were a robot, I knew it and you didn't...",False
11,1_175_1,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",True
12,1_175_2,"If you compile a CD for a double suicide, I hope it's for you.",True
13,1_182_1,No. The dark crescent-shaped patterns under your arms conceal it nicely.,True
14,1_182_2,"No, the dark patterns growing under your arms hide it well.",True
15,1_213_1,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",True
16,1_213_2,"What a chance for you that the university ""has chosen to hire you, despite the fact that you have not done an original research in 25 years, and rather wrote a series of popular books ""that reduce the great concepts of science"" to a series of anecdotes, ""everyone has had fun to accommodate the duration ""of an average intestinal movement.",True
17,1_276_1,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",True
18,1_276_2,My parents thought that naming me Leonard and putting me in advanced placement didn't make me beat enough.,True
19,1_340_1,"Sure, cut the foreigner in half. There's a billion more where he came from.",True
20,1_340_2,"Of course, cut the stranger in half, there's a billion more where he comes from.",True
21,1_410_1,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",False
22,1_410_2,"Leonard, may I introduce you, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",False
23,1_427_1,"Well, I'm sorry, too, but there's just no room for you in my wallet.",True
24,1_427_2,"I'm sorry, too, but there's no room for you in my wallet.",True
25,1_430_1,"I've got some feelers out. In the meantime, listen to this.",False
26,1_430_2,"In the meantime, listen to this.",False
27,1_467_1,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,False
28,1_467_2,This woman looks exactly like the pictures of Princess Panchali in the book. How many times do you see a beloved fictional character materialize?,False
29,1_506_1,Not to mention you'd have to power down on saturdays.,False
30,1_506_2,Not to mention the fact that you'd have to turn off on Saturdays.,False
31,1_507_1,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",True
32,1_507_2,"There's always the possibility that a trash can will spontaneously form around the letter, but Occam's razor suggests that someone threw it out.",True
33,1_533_1,"Technically, yes. But, if you'll notice... It's reversible!",False
34,1_533_2,"Technically, yes, but if you notice it, it's reversible!",False
35,1_536_1,Just the latest copy of Applied Particle Physics quarterly.,True
36,1_536_2,Just the last copy of Particle Physics applied quarterly.,True
37,1_537_1,"Oh, you know, that is so weird that yours came and mine didn't.",True
38,1_537_2,"Oh, you know, it's so weird that yours came and mine didn't.",True
39,1_672_1,Do you think Penny will come here and take care of us?,False
40,1_672_2,You think Penny's coming to take care of us?,False
41,1_971_1,"- Now?! - No, after my tongue has swollen to the size of a brisket!",True
42,1_971_2,"No, after my tongue swollen to the size of a chest!",True
43,1_1001_1,"What else? Sell it on eBay as ""slightly used.""",False
44,1_1001_2,"What else? Selling on eBay as ""slightly used.""",False
45,1_1003_1,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",True
46,1_1003_2,"And if the moment feels good, see if you can do it.",True
47,1_1144_1,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",True
48,1_1144_2,"Notify the editors of Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two"".",True
49,1_1180_1,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",True
50,1_1180_2,The only way for her to contribute to science would be to resume sending chimpanzees into space.,True
51,1_1185_1,I think tonight was a very good start.,False
52,1_1189_1,"I'm sorry, I am not going back to the Renaissance fair.",False
53,1_1189_2,"I'm sorry, I'm not going back to the Renaissance fair.",False
54,1_1262_1,You were very clear. As was everyone else at the table.,False
55,1_1262_2,Like everyone at the table.,False
56,1_1296_1,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",True
57,1_1296_2,"If I want a new pen, I have to go to the bank with wire cutters.",True
58,1_1466_1,"Maybe when I publish it, I'll include an inhaler.",True
59,1_1466_2,"Maybe when I publish it, I'll add an inhaler.",True
60,1_1470_1,I don't know. It just died. I'm getting a bunch of static.,False
61,1_1470_2,"I don't know, he just died, I've got a lot of static stuff.",False
62,1_1478_1,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",True
63,1_1478_2,"Unfortunately, Mrs. Giselle Wolowitz is sensitive to chlorine.",True
64,1_1484_1,The big deal is that nobody touches food on my plate.,False
65,1_1484_2,The most important thing is that no one touches the food on my plate.,False
66,1_1549_1,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,True
67,1_1549_2,On a dusty highway outside Bakersfield.,True
68,1_1560_1,How nice. Maybe they can carpool when they visit you in federal prison.,True
69,1_1560_2,Maybe they can carpool when they visit you in federal jail.,True
70,1_1627_1,"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",False
71,1_1627_2,"I discreetly slipped out of the other earring, put it in my pocket and I got out of there!",False
72,1_1638_1,The blunt instrument that will be the focus of my murder trial?,True
73,1_1638_2,The blunt instrument that will be at the center of my murder trial?,True
74,1_1666_1,Would it work if I just punched you in the face?,False
75,1_1666_2,Would it work if I hit you in the face?,False
76,1_1678_1,Answering the question once and for all why Wolowitz bailed out of medical school.,False
77,1_1678_2,Answering the question once and for all why Wolowitz came out of medical school.,False
78,1_1722_1,My aunt Marion gave them to me for my 12th birthday.,False
79,1_1732_1,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,True
80,1_1732_2,"You were right, your larynx is terribly inflamed, I've never seen anything like it.",True
81,1_1772_1,"""Dave."" Sounds like Leonard's got a new BFF.",True
82,1_1772_2,"""Dave."" Looks like Leonard's got a new BFF.",True
83,1_1798_1,"If you don't like this stuff, let's go next door and build her a bear.",True
84,1_1798_2,"If you don't like this thing, let's go next door and build him a bear.",True
85,1_1803_1,"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",True
86,1_1803_2,- Maybe I didn't hear you.,True
87,1_1931_1,Why don't you just lie down on the floor and swim there?,True
88,1_1931_2,Lie down on the floor and swim over there.,True
89,1_1973_1,I hope I'm a waitress at the Cheesecake Factory for my whole life.,True
90,1_1973_2,I hope to be a waitress at the Cheesecake plant for my whole life.,True
91,1_1987_1,"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.",True
92,1_1987_2,"When I didn't pay my bill, the Ministry of Water and Energy thought I'd appreciate the atmosphere.",True
93,1_2075_1,There's no hurry. Tell them more about their secret love for each other.,False
94,1_2075_2,Tell them more about their secret love for each other.,False
95,1_2119_1,"Kind of makes you feel more alive, doesn't it?",True
96,1_2119_2,"It makes you feel more alive, doesn't it?",True
97,1_2198_1,"Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation.",True
98,1_2198_2,"Assuming I can keep up with that, three hours, 11 minutes, plus how long it takes to finish this rather useless conversation.",True
99,1_2216_1,"Excuse me, but what about me? Why don't I get a shot?",False
100,1_2216_2,"Excuse me, but what about me?",False
101,1_2354_1,"So? Do cocaine smugglers write ""cocaine"" on the box?",True
102,1_2354_2,"Do cocaine smugglers write ""cocaine"" on the box?",True
103,1_2361_1,Thank you so much for giving me the opportunity to help.,False
104,1_2420_1,You know this can go on all night. Why don't you just come with us?,False
105,1_2420_2,You know it can go on all night.,False
106,1_2423_1,Provided he has already read and is familiar with the reestablishment of the DC multiverse.,False
107,1_2423_2,Hope he's already read and familiar with the recovery of the multiverse DC.,False
108,1_2464_1,"You think ""coffee,"" means coffee. That is so sweet.",True
109,1_2464_2,"You think ""coffee"" is coffee, it's so cute.",True
110,1_2575_1,"You don't really believe in that superstition, do you?",False
111,1_2575_2,"You don't really believe in this superstition, do you?",False
112,1_2580_1,"Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?",True
113,1_2580_2,"What if I change my name and live with my cousin and her husband, Avi, in Israel?",True
114,1_2614_1,Hardly a day goes by when I don't think about it.,True
115,1_2614_2,Barely a day passes when I don't think about it.,True
116,1_2616_1,"Sure, maybe a tableau of me trying to pummel you to death.",True
117,1_2616_2,"Of course, maybe a picture of me trying to suck you to death.",True
118,1_2664_1,"Terrific, it's just that... I don't think Penny wants me to go.",False
119,1_2664_2,"Great, it's just... I don't think Penny wants me to go.",False
120,1_2669_1,What did you mean when you said you were going to miss me?,False
121,1_2669_2,What did you mean when you said you'd miss me?,False
122,1_2778_1,"Ooh, big talk from a man who was once treed by a chicken.",True
123,1_2778_2,"Oh, a big conversation about a man who was ripped off by a chicken.",True
124,1_2792_1,"No, I mean, we can always go back to being friends.",False
125,1_2792_2,"No, I mean, we can always come back to being friends.",False
126,1_2797_1,It's an iCal download. She can put it right in her phone.,True
127,1_2797_2,"It's an iCal download, she can put it in her phone.",True
128,1_2819_1,"You know, I've always wanted to go to a Goth nightclub.",True
129,1_2819_2,"You know, I always wanted to go to a Goth nightclub.",True
130,1_2830_1,"No, I'm behind on my Wiki-reading. I'm kind of on a John Grisham kick right now.",False
131,1_2830_2,"No, I'm late for reading Wiki.",False
132,1_2837_1,"- Chocolate? - No, I don't want any chocolate!",False
133,1_2837_2,- I don't want chocolate!,False
134,1_2842_1,"Oh, you know, Goth stuff. Goth magazines, Goth music.",False
135,1_2842_2,"Oh, you know, Goth stuff, Goth magazines, Goth music.",False
136,1_2853_1,"Obviously, waitressing at The Cheese Cake Factory is a complex socio-economic activity that requires a great deal of analysis and planning.",True
137,1_2853_2,"Obviously, the waitress at Cheese Cake Factory is a complex socio-economic activity that requires a lot of analysis and planning.",True
138,1_3064_1,When I have enough to destroy all the human toast on the Battlestar known as Galactica.,True
139,1_3064_2,When I get enough to destroy all the human toasts on the Battlestar known as Galactica.,True
140,1_3069_1,Seems like an awful lot of trouble to go through for intercourse.,False
141,1_3069_2,Looks like there's a lot of trouble having sex.,False
142,1_3125_1,"But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.",True
143,1_3125_2,"But if she throws you away, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.",True
144,1_3177_1,"Not a great movie, but look at that beautiful desert.",False
145,1_3177_2,"Not a big movie, but watch this beautiful desert.",False
146,1_3204_1,Right. That was so good! Sweety and meaty at the same time.,False
147,1_3204_2,"It was so good, sweet and fleshy at the same time.",False
148,1_3256_1,"I'm sorry, fiddling with yourself in the bathtub is a real class act.",True
149,1_3256_2,"I'm sorry, playing with you in the bathtub is a real class number.",True
150,1_3259_1,"No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you.",True
