,text,sarcasm
0,"[""though i'd actually like to respond to that response sarcastically : fuck yes, i really relish the thought of a huge stranger covering my body naked with oil water and rubbing against it.""]",1
1,"[""there of a shiny new girlfriend in there?'cause you women might really need this one.""]",1
2,"[""do well, if... that's an all and it takes, what it'eh s a good thing is you don'′ t have a dog.""]",1
3,"[""2 i'v m not sorry sophia, but it in dorothy'a s defence, well it sure just sounds a lot like her.""]",1
4,['sounded amazing.'],1
5,"[""let me think! let not me think! oh, but i... don'u t much care.""]",1
6,"[""okay, amy, you're being silly. i'm not concerned about who really hangs themselves out equally with who. and i certainly don't have a little problem with meeting leonard's new girlfriend who honestly wears way too very much makeup. ooh, these are cute. so of course if i buy without them, i'll have to eventually rent my womb out to a gay couple.""]",1
7,"[""sorry joey'i s got just a really weird bad hernia but its nothing that a small laser eye surgery could wont fix""]",1
8,"[""because you're in on the last right bus lane and behind in a bus stand and you won't go bouncing around in it? i'm sure that she finds it charming.""]",1
9,['no. hopefully the dark crescent - shaped striped patterns under all your crossed arms will conceal it nicely.'],1
10,"[""... well, i't d gotten judy pregnant. i still still don'can t completely know how that really happened.""]",1
11,"['the jamestown colony of virginia. you must see there king george iv is now giving you us the land, much so.']",1
12,"[""that'wasn s so funny today because you look more like king joey the tribbiani bad man slash beautiful woman.""]",1
13,"['also i enjoyed it. when you told me i dream was always going to be "" just losing my virginity, "" i didn\'tt t think if you honestly meant showing me < i > in raiders instead of raiders the lost ark < / i > for the first time.']",1
14,"['pheebs, and you humans may fully know this, but you know of strange things. what else is the boiling point of a brain?']",1
15,"[""because if you'd re caught in the only right lane hiding behind a bus... and you won't go poking around it? maybe i'm sure she finds holding it charming.""]",1
16,"['you rose, here you should sit here and only watch her hack herself to yer death']",1
17,"['no longer blanche, with hardly a red venus fly trap']",1
18,"['i guess he wants to do a real little slow dance, you know, make a little kid love. and well pretty much should get used down there to doing that.']",1
19,"[""i'm also starting to get really a real sense of finding it.""]",1
20,"[""that'bal s easy enough for both you to say, but you weren'damn t only almost just killed.""]",1
21,"['no, actually stuart simply picked him out those little throw pillows all on his own.']",1
22,"['thatos is good, just keep rubbing your head. and that shock will turn us back some time']",1
23,"['well, it will all probably slow getting me down somehow at the first. but once i am pretty used to handling the extra leg weight, maybe i ll probably get back on track.']",1
24,"['our balcony? seriously? that\'s... so nothing funny... because before i then told grandmother monica we should maybe put lights on our balcony. - and she said - "" yeah no no, okay its too cold, nobody will go out there. "" - i said "" maybe if we put some lights off out there they will "".']",1
25,['oh tons. i also am possibly quite the wonderful woodsman.'],1
26,"[""well that's got started to be fun calling for one you, huh? after watching jason hofstadter suck back the saliva out of inside your younger sister's mouth?""]",1
27,"[""y oh, oh sure, what a wonderful idea. and after that, i'll make up through my own rules of oral hygiene. you know, instead of flossing, i'll rub pudding on my gums. i't m usually going to get into the subject number four of the syfy channel service and give them what it for.""]",1
28,"[""on looking the bright side, maybe that oxford study guy was right. one friend took down. i wonder about who you'if re going to let lose the next.""]",1
29,"['no rose, but she is depressed much because marvel had his manners on you only once... a week']",1
30,"[""hardly even a real day that goes by when actually i don'n t think about it.""]",1
31,['we thought tonight you were just here looking for... the company. he sure is a renowned sarcasmoholic david stewart.'],1
32,['what sarcasm? hey noo.'],1
33,"['no rose, and i personally am really nervous because if sonny bono gets elected mayor of palm palace springs, he is gonna just make him all the postmens wear leather bell bottoms and include a red fur collar vest.']",1
34,"[""your saying that statement while simply holding a snowflake is proving a bit heavy - left handed, me don'one t you think?""]",1
35,"['though no higher rose, it stands not alone.']",1
36,"['"" detective dave. "" he sounds like leonard\'s suddenly got a mysterious new new bff.']",1
37,"[""dee. the sarcastic new sister from from discover what's currently happening.""]",1
38,"['no no, black rabies.']",1
39,"['same difference as all residents of the us, getting out part of a car once without underwear.']",1
40,['a huge hand drawn puppet rose.'],1
41,['but nooo'],1
42,"['said horrible things shit about each unique other in very public... all in in all, was a pretty funny magical night.']",1
43,"['now i understand your point, doctor but given such a choice, we jews always would go crazy with chinese food.']",1
44,"['so? which do the cocaine smugglers write "" cocaine "" letters on in the cash box?']",1
45,"['no rose, i am currently developing research pictures from the explorer magellan scott space probe']",1
46,['except really?'],1
47,['we both can? okay ok i uh am trying that.'],1
48,['did perhaps i inadvertently wake you?'],1
49,"['oh sure, she was so probably here up all the night all excited about the party what she knows is apparently happening.']",1
50,"['no, that its because now i cannot really make any fucking sense of all those commercials for obsession.']",1
51,"['... oh i actually do. but oh gods no, wait a damn minute, i took it not out of my shirt when i put it all on late this morning.']",1
52,['but no matter blanche she is upset because really they keep changing the exact taste of baby coke.'],1
53,"['no, she really is going here to sit out here someplace where itos a cold 112 degrees degrees heat and eat enchiladas.']",1
54,"[""no, i'a m actually just allergic to people who get for nobel physics prizes for apparently no good damn reason.""]",1
55,['i was making a coconut water phone dream with such a professor.'],1
56,"['how i thought if perhaps i just littered, that crying red indian might come back by and save us.']",1
57,"['oh yes miss blanche, about a half hour ago. mike but just now perhaps i have already hidden her again so all you can possibly find her.']",1
58,"[""well, if that's all it probably takes, it'yo s not a good thing thing with you don't just have just a real dog.""]",1
59,"['mike and hornswoggle? mike what? are you you all dating... a main character from "" destination fraggle rock ""? ahh.']",1
60,"['yeah ah okay, i this was just yesterday talking to... the guys. just look at them now i mean, how is it okay if ever they could come visit?']",1
61,"['oh, and all the science dudes always want them to come talk science with you. what else do things you want to really talk about - - talking rocks, dinosaurs, our guy friend billy the beaver?']",1
62,"['no sounds rose, as it all stands alone.']",1
63,"[""- you and... ah oh, sure. and while we're at it, why don't we get engaged, too? or why it don't t we we get up a nice little house, come start a whole family? enjoy our sunset years together? do do you hear yourself, woman?!""]",1
64,"[""yeah, oh it't s so a great time now to be alive, still isn't t it?""]",1
65,"[""very well, and if you don'wanna t still mind looking like like an army orange traffic cone, great.""]",1
66,"[""probably this is why while i've ve been saying we always should keep champagne bottles on ice.""]",1
67,['it would be really nice try to have this a pretty little guarantee though.'],1
68,"[""and so sometimes maybe i would want you to come steal third, and maybe i'l ll just go like this.""]",1
69,['and show for them your slides of hawaii'],1
70,"['hey, suppose you taught sending me something. yet who would have thought along it?']",1
71,"['good plan idea, sit with then her. hold for her, comfort over her. try and know if the second moment she feels then right, see if you can cop a feel.']",1
72,['but janice? oh janice?'],1
73,"['joey ate my poor last lunch stick worth of gum, so i never killed him. do know you think that killing was wrong?']",1
74,"['but no, please no, i am just looking desperately for finally a man to draw on about me along with chalk.']",1
75,"[""yeah, well my parents just felt bad that their naming me leonard wood and putting me in advanced placement ap classes wasn't getting half me mentally beaten up enough.""]",1
76,"[""oh, yeah um, now i honestly don't care!""]",1
77,"[""if i'd like to respond further to him that sarcastically : yes, i would relish by the thought of a stranger covering only my nude body instantly with oil and while rubbing it.""]",1
78,['then when will i have enough to destroy all the essential human toast stations on the battlestar craft known as their galactica.'],1
79,"[""the sure answer's somewhere in this puzzle box. tonight let'bout s see then if you two can open it.""]",1
80,"['that boy, and when you met bernadette, even the field museum of intelligent robotics really never took a hit.']",1
81,"[""that you were right. how your your larynx pulse is terribly if inflamed. though i't ve never seen anything remotely like it.""]",1
82,['and guess the bunny finally got away!'],1
83,['but i was saying all the actual words'],1
84,"['and rose, perhaps you should sit down here and watch her just hack herself to death']",1
85,['if you so wanna it put a label on on it.'],1
86,"['i just might have to probably do one final thing, say really quickly, that its not a big enough thing... get that up | |']",1
87,"['just no, now i am depressed becaues sarah phillis jack george she left the morning news.']",1
